# z mu sigma
0.241450 15.479968 0.101278
0.241553 15.288380 0.101278
0.241564 15.304804 0.101278
0.242377 15.542142 0.101282
0.242592 15.421048 0.101283
0.242761 15.526109 0.101283
0.243221 15.571400 0.101285
0.243560 15.705148 0.101286
0.243946 15.572229 0.101288
0.244275 15.431617 0.101289
0.244643 15.567756 0.101291
0.244848 15.597537 0.101292
0.245022 15.652967 0.101292
0.245207 15.558971 0.101293
0.245682 15.587871 0.101295
0.246022 15.624142 0.101297
0.246152 15.318590 0.101297
0.246956 15.389222 0.101301
0.247298 15.654420 0.101302
0.247341 15.387718 0.101302
0.247343 15.553030 0.101302
0.247577 15.492098 0.101303
0.247661 15.460065 0.101304
0.248103 15.661996 0.101306
0.248268 15.494514 0.101306
0.248598 15.572488 0.101308
0.248973 15.563971 0.101309
0.249314 15.597311 0.101311
0.249333 15.577945 0.101311
0.249837 15.477675 0.101313
0.250298 15.678725 0.101315
0.251839 15.606796 0.101322
0.251996 15.697586 0.101323
0.252580 15.646722 0.101326
0.253434 15.663946 0.101330
0.253952 15.748340 0.101332
0.254020 15.575435 0.101332
0.254037 15.654744 0.101333
0.254119 15.646779 0.101333
0.254179 15.564190 0.101333
0.254237 15.596898 0.101333
0.254306 15.588435 0.101334
0.254674 15.635342 0.101336
0.255000 15.640169 0.101337
0.255276 15.655063 0.101338
0.255512 15.721732 0.101340
0.255513 15.527712 0.101340
0.256121 15.666132 0.101343
0.256130 15.722610 0.101343
0.256321 15.751935 0.101344
0.256651 15.663309 0.101345
0.256665 15.749611 0.101345
0.256845 15.604711 0.101346
0.257045 15.643298 0.101347
0.257214 15.595435 0.101348
0.257975 15.574772 0.101352
0.258579 15.752554 0.101355
0.258602 15.837076 0.101355
0.259199 15.650257 0.101358
0.259222 15.826262 0.101358
0.260327 15.468094 0.101364
0.260449 15.735822 0.101364
0.261017 15.885954 0.101367
0.261048 15.541390 0.101367
0.262065 15.539653 0.101373
0.262156 15.770202 0.101373
0.262442 15.523849 0.101375
0.262458 15.637754 0.101375
0.262922 15.666567 0.101377
0.263105 15.828960 0.101378
0.263544 15.845752 0.101380
0.263672 15.719558 0.101381
0.263755 15.799859 0.101382
0.263803 15.704782 0.101382
0.263950 15.709652 0.101383
0.264151 15.670810 0.101384
0.264883 15.891700 0.101388
0.265138 15.767512 0.101389
0.265251 15.817021 0.101390
0.265291 15.709040 0.101390
0.265877 15.553528 0.101393
0.266579 15.756946 0.101397
0.267546 15.701273 0.101402
0.267594 15.442207 0.101402
0.267695 15.625997 0.101403
0.268648 15.664841 0.101408
0.269102 15.750488 0.101411
0.269317 15.814844 0.101412
0.269370 15.750910 0.101412
0.269578 15.810584 0.101414
0.269799 15.715398 0.101415
0.271307 15.816824 0.101423
0.271544 15.822166 0.101425
0.271779 15.701838 0.101426
0.271855 15.595512 0.101427
0.271940 15.646517 0.101427
0.272724 15.825801 0.101432
0.272784 15.871692 0.101432
0.273015 16.009701 0.101433
0.273651 15.837717 0.101437
0.273801 15.953224 0.101438
0.274234 15.763634 0.101441
0.274574 15.779841 0.101443
0.274752 15.856053 0.101444
0.274883 15.969715 0.101444
0.275180 15.943414 0.101446
0.275217 15.868444 0.101446
0.275686 15.834730 0.101449
0.275793 16.037840 0.101450
0.276258 15.891301 0.101453
0.276285 15.748154 0.101453
0.276382 15.829441 0.101453
0.276819 15.751541 0.101456
0.277225 15.938216 0.101459
0.277691 15.855628 0.101461
0.277834 15.831157 0.101462
0.278141 15.872855 0.101464
0.278322 15.923836 0.101465
0.278342 16.058472 0.101465
0.278391 15.804768 0.101466
0.278700 15.971300 0.101468
0.278951 15.815470 0.101469
0.279816 15.864643 0.101474
0.280362 15.790160 0.101478
0.281531 15.783487 0.101485
0.281923 15.948986 0.101488
0.282180 15.817875 0.101489
0.282404 15.783392 0.101491
0.283222 16.064358 0.101496
0.283503 15.865895 0.101498
0.283963 15.903574 0.101501
0.284102 16.052033 0.101502
0.285049 15.977846 0.101508
0.285106 16.115553 0.101508
0.285272 15.803148 0.101509
0.285378 15.971149 0.101510
0.286025 15.875862 0.101514
0.286034 15.726183 0.101514
0.286658 15.965797 0.101518
0.287256 15.814882 0.101522
0.288114 15.856787 0.101528
0.288359 15.864690 0.101530
0.288541 15.874497 0.101531
0.288929 15.980079 0.101533
0.289318 15.854623 0.101536
0.289780 15.890188 0.101539
0.289942 16.105329 0.101540
0.290146 15.996997 0.101541
0.290224 15.939908 0.101542
0.290812 16.081596 0.101546
0.290914 15.868495 0.101547
0.291527 16.100393 0.101551
0.291610 15.855310 0.101551
0.291739 15.961759 0.101552
0.291771 15.916650 0.101552
0.291777 15.840649 0.101553
0.291992 15.800112 0.101554
0.292114 15.943718 0.101555
0.292187 16.105262 0.101555
0.292280 16.025459 0.101556
0.292294 15.932692 0.101556
0.292604 15.996988 0.101558
0.292744 15.863049 0.101559
0.292946 16.203267 0.101561
0.293626 16.071913 0.101565
0.293950 15.937331 0.101567
0.294192 15.999947 0.101569
0.294275 16.029916 0.101570
0.294410 15.868607 0.101571
0.294413 15.981077 0.101571
0.294918 16.055213 0.101574
0.295079 15.926422 0.101575
0.295489 16.044016 0.101578
0.295604 16.049933 0.101579
0.295796 15.851825 0.101580
0.295894 16.183533 0.101581
0.295970 15.934780 0.101582
0.296032 16.105207 0.101582
0.296211 16.104224 0.101583
0.296684 16.026371 0.101587
0.296788 15.950565 0.101587
0.297116 16.082284 0.101590
0.297211 15.977416 0.101590
0.298137 15.963618 0.101597
0.298347 16.056439 0.101598
0.298587 16.014283 0.101600
0.299433 15.908512 0.101606
0.299780 16.099825 0.101609
0.299784 16.075426 0.101609
0.299826 15.933531 0.101609
0.299993 16.172774 0.101610
0.300203 16.126434 0.101612
0.300357 16.077880 0.101613
0.300511 15.906318 0.101614
0.300828 16.063748 0.101616
0.300841 15.938985 0.101616
0.300844 16.049310 0.101616
0.300924 15.822899 0.101617
0.301138 16.016804 0.101618
0.301292 16.144203 0.101620
0.301557 16.061952 0.101622
0.302141 16.060587 0.101626
0.302230 16.078901 0.101626
0.302331 16.153374 0.101627
0.302364 16.049251 0.101627
0.302500 16.004757 0.101628
0.302512 16.052265 0.101629
0.302516 16.215070 0.101629
0.303084 16.141990 0.101633
0.303221 16.003243 0.101634
0.303404 16.052314 0.101635
0.303583 16.242569 0.101636
0.303701 16.121310 0.101637
0.303802 16.040246 0.101638
0.303886 16.038918 0.101639
0.304008 16.204349 0.101640
0.304126 16.195876 0.101640
0.304151 16.083337 0.101641
0.304211 16.170040 0.101641
0.304324 15.990646 0.101642
0.304458 16.220377 0.101643
0.304588 16.265193 0.101644
0.304628 16.038793 0.101644
0.304701 16.148872 0.101645
0.304883 16.139070 0.101646
0.305115 16.126023 0.101648
0.305201 16.192427 0.101648
0.305280 16.027762 0.101649
0.305533 16.061811 0.101651
0.306014 15.946065 0.101654
0.306341 15.994209 0.101657
0.306596 16.051049 0.101659
0.306632 16.307707 0.101659
0.306806 16.079622 0.101660
0.306961 16.099350 0.101662
0.307625 16.120055 0.101667
0.307636 15.979960 0.101667
0.308410 16.036809 0.101673
0.308516 16.022235 0.101673
0.308533 16.066952 0.101673
0.308586 16.127238 0.101674
0.308602 16.234077 0.101674
0.308961 16.174749 0.101677
0.309017 16.050176 0.101677
0.309168 16.284144 0.101678
0.309482 16.101793 0.101681
0.309592 15.959386 0.101682
0.309966 16.202547 0.101684
0.310027 16.113320 0.101685
0.310215 16.441623 0.101686
0.310723 16.128471 0.101690
0.311182 15.946009 0.101694
0.311444 16.064761 0.101696
0.311633 16.114675 0.101697
0.311743 16.111194 0.101698
0.312057 16.139502 0.101701
0.312223 16.313547 0.101702
0.312225 16.032786 0.101702
0.312314 16.066097 0.101703
0.312335 16.237387 0.101703
0.312576 16.193093 0.101705
0.312639 16.162148 0.101705
0.312674 16.137976 0.101705
0.312889 16.139813 0.101707
0.313041 16.220450 0.101708
0.313087 16.158015 0.101709
0.313128 16.083398 0.101709
0.313374 16.236709 0.101711
0.313557 16.033474 0.101712
0.313562 16.171578 0.101712
0.313569 16.248590 0.101712
0.313599 16.160196 0.101713
0.314036 16.281075 0.101716
0.314044 16.159021 0.101716
0.314074 16.235519 0.101716
0.314287 16.279512 0.101718
0.314372 16.081556 0.101719
0.314943 16.107691 0.101723
0.315204 16.102149 0.101725
0.315321 16.228555 0.101726
0.315425 16.208315 0.101727
0.316005 16.293067 0.101731
0.316007 16.157667 0.101731
0.316174 16.220913 0.101733
0.316218 16.088632 0.101733
0.316226 16.039329 0.101733
0.316753 16.198225 0.101737
0.316767 16.293174 0.101738
0.317074 16.298499 0.101740
0.317843 16.139348 0.101746
0.318149 16.280351 0.101749
0.318565 16.120781 0.101752
0.318695 16.311578 0.101753
0.318774 16.276677 0.101754
0.319073 16.159358 0.101756
0.319283 16.285656 0.101758
0.319503 16.018385 0.101759
0.319565 16.206254 0.101760
0.319735 16.121954 0.101761
0.320347 16.232761 0.101766
0.320417 16.189131 0.101767
0.320526 16.256734 0.101768
0.320616 16.205361 0.101768
0.320929 16.124406 0.101771
0.321082 16.305254 0.101772
0.321270 16.196441 0.101774
0.321327 16.144658 0.101774
0.321355 16.181534 0.101775
0.321383 16.183410 0.101775
0.321707 16.244826 0.101777
0.321976 16.206134 0.101780
0.322324 16.300981 0.101782
0.322537 16.049227 0.101784
0.322713 16.356363 0.101786
0.323333 16.439831 0.101791
0.323439 15.999199 0.101792
0.323491 16.156742 0.101792
0.323566 16.306978 0.101793
0.323697 16.246585 0.101794
0.323799 16.282443 0.101795
0.323869 16.354763 0.101795
0.324320 16.230159 0.101799
0.324536 16.163108 0.101801
0.325135 16.202474 0.101806
0.325340 16.367057 0.101807
0.325943 16.264146 0.101812
0.326042 16.365827 0.101813
0.326238 16.387181 0.101815
0.326309 16.081592 0.101815
0.326780 16.328278 0.101819
0.326814 16.261515 0.101820
0.327078 16.269311 0.101822
0.327096 16.128419 0.101822
0.327360 16.203141 0.101824
0.327471 16.101378 0.101825
0.327609 16.188271 0.101826
0.327828 16.426254 0.101828
0.327854 16.371671 0.101828
0.327866 16.233390 0.101828
0.328040 16.146436 0.101830
0.328123 16.355156 0.101831
0.328249 16.280686 0.101832
0.328327 16.325344 0.101832
0.328383 16.276381 0.101833
0.328691 16.149014 0.101835
0.329280 16.196828 0.101840
0.329354 16.126992 0.101841
0.329371 16.405099 0.101841
0.329443 16.126115 0.101842
0.329610 16.271539 0.101843
0.329795 16.308331 0.101845
0.329910 16.434595 0.101846
0.330157 16.201109 0.101848
0.330255 16.228473 0.101849
0.330857 16.268007 0.101854
0.331435 16.463946 0.101859
0.332711 16.271601 0.101870
0.332972 16.230337 0.101872
0.333013 16.330909 0.101872
0.333354 16.363209 0.101875
0.333769 16.277385 0.101879
0.333942 16.377648 0.101880
0.333979 16.279067 0.101881
0.334033 16.315304 0.101881
0.334384 16.351119 0.101884
0.334635 16.200512 0.101886
0.334943 16.157646 0.101889
0.335082 16.200689 0.101890
0.335187 16.205018 0.101891
0.335340 16.279458 0.101893
0.335601 16.525848 0.101895
0.335800 16.388051 0.101897
0.336066 16.296411 0.101899
0.336075 16.394839 0.101899
0.336221 16.343486 0.101900
0.336355 16.247709 0.101901
0.336404 16.304723 0.101902
0.336784 16.431978 0.101905
0.336856 16.349171 0.101906
0.337062 16.317627 0.101908
0.337116 16.477237 0.101908
0.337491 16.369110 0.101911
0.337694 16.303196 0.101913
0.337768 16.426085 0.101914
0.337927 16.433524 0.101915
0.338095 16.400203 0.101917
0.338398 16.276630 0.101919
0.338468 16.497242 0.101920
0.338523 16.296725 0.101921
0.338536 16.435525 0.101921
0.338559 16.216094 0.101921
0.338620 16.387650 0.101921
0.338711 16.266663 0.101922
0.338936 16.292994 0.101924
0.339066 16.285331 0.101925
0.339151 16.440603 0.101926
0.340083 16.346056 0.101934
0.340321 16.281517 0.101937
0.340638 16.292236 0.101939
0.340665 16.413941 0.101940
0.341007 16.257076 0.101943
0.341068 16.358935 0.101943
0.341095 16.282463 0.101943
0.341474 16.400503 0.101947
0.341605 16.376707 0.101948
0.341935 16.404426 0.101951
0.342039 16.400614 0.101952
0.342339 16.390179 0.101955
0.342449 16.342042 0.101956
0.342597 16.377263 0.101957
0.343603 16.387022 0.101966
0.343918 16.291818 0.101969
0.343994 16.438883 0.101970
0.344195 16.354480 0.101971
0.345212 16.491849 0.101981
0.345354 16.588111 0.101982
0.345613 16.282129 0.101984
0.345663 16.400910 0.101985
0.345950 16.208796 0.101987
0.346020 16.345026 0.101988
0.346042 16.375278 0.101988
0.346803 16.448875 0.101995
0.346846 16.389613 0.101996
0.347075 16.594359 0.101998
0.347600 16.532115 0.102003
0.347696 16.365373 0.102003
0.348191 16.346713 0.102008
0.348768 16.313085 0.102013
0.349141 16.382420 0.102017
0.349283 16.372762 0.102018
0.349379 16.364756 0.102019
0.349552 16.416222 0.102021
0.349706 16.546783 0.102022
0.350355 16.512875 0.102028
0.350454 16.527522 0.102029
0.350466 16.435092 0.102029
0.350567 16.477179 0.102030
0.350719 16.440728 0.102031
0.350739 16.480978 0.102032
0.350830 16.202354 0.102033
0.350875 16.308525 0.102033
0.350934 16.388428 0.102033
0.351278 16.489428 0.102037
0.351478 16.467785 0.102039
0.351715 16.373031 0.102041
0.351741 16.416457 0.102041
0.351952 16.637535 0.102043
0.352004 16.521866 0.102043
0.352254 16.467215 0.102046
0.352263 16.420895 0.102046
0.352273 16.461975 0.102046
0.352884 16.315317 0.102052
0.353072 16.381311 0.102054
0.353080 16.382043 0.102054
0.353082 16.395207 0.102054
0.353163 16.588789 0.102054
0.353197 16.592018 0.102055
0.353262 16.522824 0.102055
0.353434 16.595574 0.102057
0.353457 16.463693 0.102057
0.353549 16.544368 0.102058
0.353693 16.570395 0.102059
0.353789 16.529901 0.102060
0.353800 16.463698 0.102060
0.353914 16.378993 0.102061
0.354707 16.578294 0.102069
0.354856 16.398338 0.102070
0.355139 16.403368 0.102073
0.355310 16.568676 0.102075
0.355710 16.517037 0.102078
0.355736 16.621673 0.102079
0.355782 16.511181 0.102079
0.356043 16.422238 0.102082
0.356311 16.579811 0.102084
0.356563 16.300452 0.102087
0.356662 16.605213 0.102088
0.356688 16.610971 0.102088
0.356746 16.559426 0.102088
0.356989 16.175242 0.102091
0.357232 16.484782 0.102093
0.357374 16.557779 0.102094
0.357374 16.461960 0.102094
0.357553 16.459847 0.102096
0.358535 16.494424 0.102106
0.358637 16.428348 0.102106
0.358868 16.668884 0.102109
0.358969 16.301466 0.102110
0.359231 16.555152 0.102112
0.359359 16.533412 0.102113
0.359438 16.519129 0.102114
0.359596 16.423303 0.102116
0.359611 16.403166 0.102116
0.359731 16.359594 0.102117
0.359949 16.502351 0.102119
0.360149 16.525587 0.102121
0.360165 16.685237 0.102121
0.360254 16.539327 0.102122
0.360780 16.511896 0.102127
0.360880 16.638764 0.102128
0.360926 16.693940 0.102129
0.361057 16.421385 0.102130
0.361136 16.589237 0.102131
0.361914 16.418328 0.102138
0.362121 16.412301 0.102140
0.362237 16.448473 0.102141
0.362666 16.585198 0.102146
0.362715 16.459876 0.102146
0.362779 16.576048 0.102147
0.362871 16.427560 0.102148
0.362899 16.493225 0.102148
0.363240 16.414420 0.102151
0.363461 16.577448 0.102153
0.363649 16.671318 0.102155
0.363655 16.597645 0.102155
0.363662 16.626996 0.102155
0.363811 16.283345 0.102157
0.364085 16.661177 0.102159
0.364222 16.506947 0.102161
0.364230 16.451668 0.102161
0.364893 16.575069 0.102167
0.364974 16.610744 0.102168
0.365042 16.626464 0.102169
0.365101 16.488493 0.102169
0.365140 16.601231 0.102170
0.365682 16.504761 0.102175
0.365741 16.409412 0.102176
0.365749 16.515265 0.102176
0.365804 16.609654 0.102176
0.365842 16.550291 0.102177
0.366408 16.499265 0.102182
0.366617 16.570010 0.102184
0.366645 16.394427 0.102185
0.366737 16.597310 0.102186
0.366738 16.712106 0.102186
0.367030 16.397249 0.102189
0.367099 16.338082 0.102189
0.367185 16.502684 0.102190
0.367201 16.433717 0.102190
0.367436 16.456594 0.102193
0.367538 16.765150 0.102194
0.367559 16.522386 0.102194
0.367570 16.664821 0.102194
0.368146 16.556458 0.102200
0.368350 16.691987 0.102202
0.368364 16.697927 0.102202
0.368493 16.624617 0.102203
0.368565 16.635778 0.102204
0.368623 16.522673 0.102204
0.368693 16.516823 0.102205
0.368904 16.442836 0.102207
0.369001 16.620422 0.102208
0.369168 16.589845 0.102210
0.369423 16.564749 0.102212
0.369470 16.583651 0.102213
0.369629 16.515085 0.102215
0.369709 16.762728 0.102215
0.369897 16.510950 0.102217
0.370200 16.508938 0.102220
0.370403 16.487648 0.102222
0.370523 16.582029 0.102223
0.370819 16.636608 0.102226
0.370928 16.578065 0.102228
0.370977 16.406989 0.102228
0.371277 16.716735 0.102231
0.371389 16.475443 0.102232
0.371402 16.543261 0.102232
0.371508 16.534466 0.102233
0.372099 16.604587 0.102239
0.372151 16.626876 0.102240
0.372394 16.393269 0.102242
0.372426 16.720772 0.102243
0.372484 16.601088 0.102243
0.372727 16.520166 0.102246
0.372831 16.695122 0.102247
0.372917 16.590351 0.102248
0.372955 16.567553 0.102248
0.373304 16.667452 0.102252
0.373472 16.690167 0.102253
0.373530 16.468721 0.102254
0.373627 16.467754 0.102255
0.374143 16.411171 0.102260
0.374432 16.626756 0.102263
0.374590 16.471728 0.102265
0.374606 16.602601 0.102265
0.374673 16.676461 0.102266
0.374751 16.505472 0.102266
0.374785 16.395524 0.102267
0.374825 16.672297 0.102267
0.374959 16.756489 0.102268
0.375137 16.521894 0.102270
0.375428 16.568911 0.102273
0.375536 16.525515 0.102274
0.375553 16.722126 0.102275
0.375583 16.660066 0.102275
0.375590 16.556685 0.102275
0.375676 16.525814 0.102276
0.375720 16.701268 0.102276
0.375975 16.702706 0.102279
0.376161 16.679809 0.102281
0.376233 16.637243 0.102281
0.376265 16.575832 0.102282
0.376275 16.635576 0.102282
0.376617 16.709674 0.102285
0.376795 16.630409 0.102287
0.377080 16.460415 0.102290
0.377151 16.627113 0.102291
0.377375 16.613172 0.102293
0.377529 16.392944 0.102295
0.377630 16.693021 0.102296
0.377635 16.681019 0.102296
0.377648 16.616914 0.102296
0.377955 16.415078 0.102299
0.378111 16.595160 0.102301
0.378348 16.532800 0.102303
0.378549 16.567468 0.102305
0.378762 16.695091 0.102308
0.378827 16.738055 0.102308
0.378999 16.664188 0.102310
0.379134 16.588715 0.102311
0.379595 16.749158 0.102316
0.379651 16.553780 0.102317
0.379679 16.705018 0.102317
0.379798 16.688599 0.102318
0.379807 16.460598 0.102318
0.380054 16.596632 0.102321
0.380113 16.482017 0.102322
0.380137 16.662552 0.102322
0.380682 16.689169 0.102328
0.380774 16.707803 0.102328
0.381504 16.800570 0.102336
0.381515 16.565702 0.102336
0.381751 16.679645 0.102339
0.381764 16.691304 0.102339
0.382045 16.810650 0.102342
0.382196 16.600882 0.102343
0.382250 16.515505 0.102344
0.382263 16.647017 0.102344
0.382383 16.454416 0.102345
0.382604 16.666767 0.102348
0.383026 16.638347 0.102352
0.383190 16.911129 0.102354
0.383464 16.576466 0.102357
0.383575 16.733568 0.102358
0.383661 16.513067 0.102359
0.383771 16.845517 0.102360
0.384127 16.594277 0.102364
0.384293 16.764233 0.102365
0.384372 16.863370 0.102366
0.384742 16.742959 0.102370
0.384847 16.719211 0.102371
0.385063 16.603269 0.102373
0.385066 16.615489 0.102374
0.385097 16.740908 0.102374
0.385396 16.475076 0.102377
0.385495 16.713684 0.102378
0.385508 16.725465 0.102378
0.385529 16.812759 0.102378
0.385531 16.761425 0.102378
0.385849 16.707255 0.102382
0.385882 16.512510 0.102382
0.385994 16.750595 0.102383
0.386237 16.721435 0.102386
0.386388 16.518705 0.102388
0.386459 16.622813 0.102388
0.386486 16.581704 0.102389
0.386560 16.661085 0.102389
0.386641 16.625349 0.102390
